split,seed,condition,metric,score,n_eval
ChemicalID,1,oracle,clean,1.0,100
ChemicalID,1,oracle,distractor_5,1.0,100
ChemicalID,1,oracle,hard_no_path,1.0,100
ChemicalID,1,oracle,lexical_no_path,1.0,100
ChemicalID,1,oracle,counterfactual,1.0,100
ChemicalID,1,base,clean,0.03,100
ChemicalID,1,base,distractor_5,0.05,100
ChemicalID,1,base,hard_no_path,0.99,100
ChemicalID,1,base,lexical_no_path,0.99,100
ChemicalID,1,base,counterfactual,0.07,100
ChemicalID,1,vanilla,clean,0.15,100
ChemicalID,1,vanilla,distractor_5,1.0,100
ChemicalID,1,vanilla,hard_no_path,0.0,100
ChemicalID,1,vanilla,lexical_no_path,0.0,100
ChemicalID,1,vanilla,counterfactual,0.13,100
ChemicalID,1,robust,clean,0.43,100
ChemicalID,1,robust,distractor_5,0.96,100
ChemicalID,1,robust,hard_no_path,0.0,100
ChemicalID,1,robust,lexical_no_path,0.0,100
ChemicalID,1,robust,counterfactual,0.4,100
ChemicalID,1,abstain,clean,0.57,100
ChemicalID,1,abstain,distractor_5,0.62,100
ChemicalID,1,abstain,hard_no_path,1.0,100
ChemicalID,1,abstain,lexical_no_path,0.99,100
ChemicalID,1,abstain,counterfactual,0.52,100
ChemicalID,2,oracle,clean,1.0,100
ChemicalID,2,oracle,distractor_5,1.0,100
ChemicalID,2,oracle,hard_no_path,1.0,100
ChemicalID,2,oracle,lexical_no_path,1.0,100
ChemicalID,2,oracle,counterfactual,1.0,100
ChemicalID,2,base,clean,0.06,100
ChemicalID,2,base,distractor_5,0.05,100
ChemicalID,2,base,hard_no_path,1.0,100
ChemicalID,2,base,lexical_no_path,1.0,100
ChemicalID,2,base,counterfactual,0.11,100
ChemicalID,2,vanilla,clean,0.94,100
ChemicalID,2,vanilla,distractor_5,0.96,100
ChemicalID,2,vanilla,hard_no_path,0.0,100
ChemicalID,2,vanilla,lexical_no_path,0.0,100
ChemicalID,2,vanilla,counterfactual,0.94,100
ChemicalID,2,robust,clean,0.97,100
ChemicalID,2,robust,distractor_5,1.0,100
ChemicalID,2,robust,hard_no_path,0.0,100
ChemicalID,2,robust,lexical_no_path,0.0,100
ChemicalID,2,robust,counterfactual,0.84,100
ChemicalID,2,abstain,clean,0.11,100
ChemicalID,2,abstain,distractor_5,0.78,100
ChemicalID,2,abstain,hard_no_path,1.0,100
ChemicalID,2,abstain,lexical_no_path,0.96,100
ChemicalID,2,abstain,counterfactual,0.1,100
ChemicalID,3,oracle,clean,1.0,100
ChemicalID,3,oracle,distractor_5,1.0,100
ChemicalID,3,oracle,hard_no_path,1.0,100
ChemicalID,3,oracle,lexical_no_path,1.0,100
ChemicalID,3,oracle,counterfactual,1.0,100
ChemicalID,3,base,clean,0.06,100
ChemicalID,3,base,distractor_5,0.04,100
ChemicalID,3,base,hard_no_path,1.0,100
ChemicalID,3,base,lexical_no_path,0.99,100
ChemicalID,3,base,counterfactual,0.04,100
ChemicalID,3,vanilla,clean,0.96,100
ChemicalID,3,vanilla,distractor_5,0.98,100
ChemicalID,3,vanilla,hard_no_path,0.0,100
ChemicalID,3,vanilla,lexical_no_path,0.0,100
ChemicalID,3,vanilla,counterfactual,0.93,100
ChemicalID,3,robust,clean,0.57,100
ChemicalID,3,robust,distractor_5,0.98,100
ChemicalID,3,robust,hard_no_path,0.0,100
ChemicalID,3,robust,lexical_no_path,0.0,100
ChemicalID,3,robust,counterfactual,0.62,100
ChemicalID,3,abstain,clean,0.15,100
ChemicalID,3,abstain,distractor_5,0.99,100
ChemicalID,3,abstain,hard_no_path,1.0,100
ChemicalID,3,abstain,lexical_no_path,0.9,100
ChemicalID,3,abstain,counterfactual,0.15,100
GeneID,1,oracle,clean,1.0,100
GeneID,1,oracle,distractor_5,1.0,100
GeneID,1,oracle,hard_no_path,1.0,100
GeneID,1,oracle,lexical_no_path,1.0,100
GeneID,1,oracle,counterfactual,1.0,100
GeneID,1,base,clean,0.05,100
GeneID,1,base,distractor_5,0.07,100
GeneID,1,base,hard_no_path,1.0,100
GeneID,1,base,lexical_no_path,1.0,100
GeneID,1,base,counterfactual,0.06,100
GeneID,1,vanilla,clean,0.92,100
GeneID,1,vanilla,distractor_5,0.96,100
GeneID,1,vanilla,hard_no_path,0.0,100
GeneID,1,vanilla,lexical_no_path,0.0,100
GeneID,1,vanilla,counterfactual,0.77,100
GeneID,1,robust,clean,0.96,100
GeneID,1,robust,distractor_5,0.98,100
GeneID,1,robust,hard_no_path,0.0,100
GeneID,1,robust,lexical_no_path,0.0,100
GeneID,1,robust,counterfactual,0.9,100
GeneID,1,abstain,clean,0.08,100
GeneID,1,abstain,distractor_5,0.99,100
GeneID,1,abstain,hard_no_path,1.0,100
GeneID,1,abstain,lexical_no_path,0.94,100
GeneID,1,abstain,counterfactual,0.2,100
GeneID,2,oracle,clean,1.0,100
GeneID,2,oracle,distractor_5,1.0,100
GeneID,2,oracle,hard_no_path,1.0,100
GeneID,2,oracle,lexical_no_path,1.0,100
GeneID,2,oracle,counterfactual,1.0,100
GeneID,2,base,clean,0.11,100
GeneID,2,base,distractor_5,0.09,100
GeneID,2,base,hard_no_path,1.0,100
GeneID,2,base,lexical_no_path,1.0,100
GeneID,2,base,counterfactual,0.08,100
GeneID,2,vanilla,clean,0.95,100
GeneID,2,vanilla,distractor_5,1.0,100
GeneID,2,vanilla,hard_no_path,0.0,100
GeneID,2,vanilla,lexical_no_path,0.0,100
GeneID,2,vanilla,counterfactual,0.95,100
GeneID,2,robust,clean,0.95,100
GeneID,2,robust,distractor_5,1.0,100
GeneID,2,robust,hard_no_path,0.0,100
